epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0752,1.68562,10.3731,0.69317,3.55852,1.4353,0.66665,0.33207,0.22424,0.11887,0,0,0,0,1.543,10.3976,0.67637,2.61783,1.49641,0.00010584,0.00010584,0.00010584
2,32.3549,1.47608,9.17238,0.67733,2.77601,1.32543,0.33532,0.60396,0.24138,0.13473,0,0,0,0,1.52181,9.80911,0.66628,4.63578,1.44566,0.000216124,0.000216124,0.000216124
3,42.1537,1.43672,8.29702,0.66538,2.48518,1.3164,0.64403,0.4859,0.22686,0.12752,0.0002,0.01389,0.0002,2e-05,1.4533,8.52927,0.62851,3.3143,1.40115,0.000324934,0.000324934,0.000324934
4,51.7647,1.39371,7.68814,0.65731,2.39826,1.29611,0.48228,0.44033,0.2828,0.16352,0.338,0.01212,0.00209,0.00024,1.43188,7.44781,0.61477,3.37949,1.45558,0.000432268,0.000432268,0.000432268
5,59.5117,1.34965,7.2455,0.63983,2.3268,1.26259,0.51008,0.375,0.26343,0.15632,0.34256,0.02273,0.00454,0.00047,1.41009,7.16448,0.59517,2.90975,1.48914,0.000538128,0.000538128,0.000538128
6,68.9969,1.34553,6.88429,0.61991,2.25438,1.27045,0.48788,0.43095,0.29404,0.16501,0.54674,0.07689,0.02524,0.00381,1.38717,6.64023,0.56245,2.56922,1.45485,0.000568596,0.000568596,0.000568596
7,76.8978,1.30774,6.48351,0.59854,2.20251,1.23366,0.64699,0.48885,0.30111,0.18244,0.52653,0.05379,0.01717,0.00198,1.39893,5.99619,0.5228,2.33133,1.38406,0.000564715,0.000564715,0.000564715
8,86.3577,1.28575,6.17446,0.57706,2.15402,1.24277,0.6494,0.44811,0.29163,0.17868,0.52886,0.05833,0.04118,0.00503,1.42124,5.63086,0.47155,2.13522,1.40583,0.000560834,0.000560834,0.000560834
9,95.1001,1.26457,5.79275,0.56036,2.08295,1.20077,0.7083,0.36277,0.32479,0.19861,0.5501,0.08598,0.05143,0.00746,1.3595,5.38597,0.4401,2.38106,1.37454,0.000556954,0.000556954,0.000556954
10,103.159,1.28499,5.39886,0.54567,2.0862,1.24057,0.56603,0.39676,0.33411,0.20252,0.43536,0.11957,0.07522,0.01017,1.26762,5.08467,0.39358,2.3802,1.35932,0.000553073,0.000553073,0.000553073
11,112.34,1.28387,5.00361,0.52199,2.0314,1.25919,0.76948,0.35314,0.3448,0.20904,0.66337,0.2183,0.16723,0.03108,1.31982,4.69461,0.35838,2.00954,1.36655,0.000549192,0.000549192,0.000549192
12,119.894,1.27839,4.81262,0.50799,1.98545,1.23732,0.79169,0.25888,0.3627,0.22148,0.68639,0.1737,0.18574,0.03868,1.28862,4.49632,0.33735,2.41502,1.32384,0.000545311,0.000545311,0.000545311
13,129.206,1.24771,4.59517,0.49881,1.96645,1.22534,0.73365,0.37613,0.36037,0.21526,0.66998,0.24931,0.21429,0.04544,1.2831,4.2298,0.29793,2.27664,1.31937,0.00054143,0.00054143,0.00054143
14,138.838,1.23368,4.48804,0.47897,1.90301,1.22495,0.78745,0.3691,0.40297,0.24323,0.74118,0.32454,0.30282,0.08409,1.3701,3.78625,0.27743,2.05641,1.43478,0.00053755,0.00053755,0.00053755
15,146.69,1.25142,4.19709,0.47759,1.81539,1.21125,0.72093,0.42972,0.36113,0.22824,0.68848,0.32735,0.25012,0.05882,1.25281,3.78679,0.23835,1.9115,1.31129,0.000533669,0.000533669,0.000533669
16,155.937,1.22948,4.10975,0.45515,1.82521,1.21834,0.74172,0.33884,0.36615,0.22391,0.73347,0.31886,0.31933,0.10794,1.34204,3.41944,0.22116,2.03271,1.35854,0.000529788,0.000529788,0.000529788
17,163.797,1.22131,4.00636,0.45141,1.77027,1.21941,0.75558,0.34657,0.37069,0.22753,0.74501,0.31406,0.31922,0.09472,1.29087,3.42671,0.2044,1.94809,1.33191,0.000525907,0.000525907,0.000525907
18,173.06,1.22033,3.90172,0.44239,1.75264,1.20279,0.76755,0.31981,0.37821,0.2347,0.75514,0.30651,0.34553,0.12147,1.23849,3.30266,0.19047,2.1131,1.31006,0.000522026,0.000522026,0.000522026
19,182.646,1.20058,3.69819,0.43253,1.66143,1.18545,0.82206,0.33725,0.4314,0.27181,0.80957,0.32297,0.3839,0.12938,1.23946,3.3445,0.18526,2.09301,1.29731,0.000518146,0.000518146,0.000518146
20,190.607,1.2075,3.74326,0.4433,1.7049,1.1943,0.43727,0.51615,0.41202,0.26493,0.4097,0.43301,0.34867,0.11388,1.24558,3.34532,0.16193,1.92419,1.31436,0.000514265,0.000514265,0.000514265
21,199.732,1.20052,3.5861,0.39717,1.60983,1.19156,0.67719,0.39211,0.39949,0.25799,0.7553,0.33426,0.33585,0.12463,1.25986,3.25714,0.15539,2.17443,1.34733,0.000510384,0.000510384,0.000510384
22,209.148,1.1744,3.4998,0.41869,1.60007,1.19518,0.41335,0.40875,0.40778,0.26869,0.83678,0.3089,0.35904,0.13176,1.21078,3.24064,0.14725,1.83193,1.3174,0.000506503,0.000506503,0.000506503
23,216.768,1.18704,3.45762,0.41698,1.58691,1.18773,0.79313,0.37217,0.46788,0.29784,0.76471,0.33082,0.40007,0.15092,1.30177,3.05659,0.1446,1.79726,1.33456,0.000502622,0.000502622,0.000502622
24,225.951,1.1987,3.45548,0.42207,1.58674,1.19989,0.40865,0.40417,0.4176,0.2676,0.38898,0.35046,0.37137,0.15098,1.33285,3.02529,0.14349,1.77866,1.38622,0.000498742,0.000498742,0.000498742
